Aether M5 API Ledger: Honest Failures
=====================================
Category | API Name                                 | Call Count
CSS      | selector-compile-failed:a:where(.new:not([role=' | 7
CSS      | selector-compile-failed:a:where(:not([role='butt | 9
CSS      | selector-compile-failed:a[rel="mw:referencedBy"] | 1
CSS      | selector-compile-failed:body.skin--responsive fi | 2
CSS      | selector-compile-failed:button::-moz-focus-inner | 1
CSS      | selector-compile-failed:figure[typeof~='mw:File/ | 4
CSS      | selector-compile-failed:html.skin-theme-clientpr | 2
CSS      | selector-compile-failed:ol.mw-collapsible:not(.m | 1
CSS      | selector-compile-failed:ol.references .mw-subref | 1
CSS      | selector-compile-failed:ol.references li:target, | 1
CSS      | selector-compile-failed:ol:lang(as) > li,ol:lang | 1
CSS      | selector-compile-failed:ol:lang(azb) > li,ol:lan | 1
CSS      | selector-compile-failed:ol:lang(blk) > li,ol:lan | 1
CSS      | selector-compile-failed:ol:lang(ckb) > li,ol:lan | 1
CSS      | selector-compile-failed:ol:lang(hi) > li,ol:lang | 1
CSS      | selector-compile-failed:ol:lang(mni) > li | 1
CSS      | selector-compile-failed:ol:lang(or) > li | 1
CSS      | selector-compile-failed:ol:lang(sat) > li | 1
CSS      | selector-compile-failed:span[rel="mw:referencedB | 1
CSS      | selector-compile-failed:span[rel='mw:referencedB | 2
CSS      | selector-compile-failed:span[rel~='mw:referenced | 3
CSS      | selector-compile-failed:x-thereisnoelementwithth | 1
